"","line","section_name","section_artist","song_name","artist_name"
"1","These bitches want Nikes","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"2","They looking for a check","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"3","Tell 'em it ain't likely","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"4","Said she need a ring like Carmelo","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"5","You must be on that white like Othello","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"6","All you want is Nikes","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"7","But the real ones just like you, just like me","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"8","I don't play, I don't make time","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"9","But if you need dick I got you","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"10","And I yam from the line","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"11","Pour up for A$AP, R.I.P. Pimp C","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"12","R.I.P. Trayvon, that nigga look just like me","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"13","Woo, fuckin' buzzin', woo!","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"14","That my little cousin, he got a little trade","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"15","His girl keep the scales, a little mermaid","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"16","We out by the pool, some little mermaids","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"17","Me and them gel","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"18","Like twigs with them bangs","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"19","Now that's a real mermaid","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"20","You been holding your breath, weighted down","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"21","Punk madre, punk papa","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"22","He don't care for me, but he cares for me","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"23","And that's good enough","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"24","We don't talk much or nothin'","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"25","But when we talkin' about something","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"26","We have good discussion","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"27","I met his friends last week","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"28","Feels like they're up to somethin'","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"29","That's good for us","Verse 1","Frank Ocean","Nikes","Frank Ocean"
"30","We'll let you guys prophesy","Verse 2","Frank Ocean","Nikes","Frank Ocean"
