artist_name,duration_ms,id,track_name,track_number,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_name,popularity,release_date,tag
Frank Ocean,314075,19YKaevk2bce4odJkP5L22,Nikes,1,0.543,0.394,8,-9.637,1,0.0864,0.695,2.39e-4,0.108,0.118,137.811,4,Blonde,86,2016-08-20,rnb
Frank Ocean,249191,2ZWlPOoWh0626oTaHrnl2a,Ivy,2,0.567,0.388,9,-9.579,0,0.0384,0.782,3.09e-4,0.248,0.452,116.362,4,Blonde,86,2016-08-20,rnb
Frank Ocean,184516,3xKsf9qdS1CyvXSMEid6g8,Pink + White,3,0.544,0.552,9,-7.45,1,0.0991,0.67,4.57e-5,0.415,0.554,159.738,3,Blonde,86,2016-08-20,rnb
Frank Ocean,86943,1IdZvb2XK8NmsovQlV6CPn,Be Yourself,4,0.657,0.431,7,-11.147,1,0.541,0.985,0,0.149,0.935,83.509,3,Blonde,86,2016-08-20,rnb
Frank Ocean,257380,35xSkNIXi504fcEwz9USRB,Solo,5,0.444,0.287,5,-10.631,0,0.0375,0.849,2.82e-6,0.161,0.246,124.027,4,Blonde,86,2016-08-20,rnb
Frank Ocean,184600,4xR3MAscflQ262kMeiKshQ,Skyline To,6,0.423,0.294,5,-13.673,0,0.0593,0.882,5.43e-6,0.0981,0.401,129.146,4,Blonde,86,2016-08-20,rnb
Frank Ocean,249667,5GUYJTQap5F3RDQiCOJhrS,Self Control,7,0.572,0.209,8,-10.413,1,0.0313,0.765,0,0.356,0.446,80.069,4,Blonde,86,2016-08-20,rnb
Frank Ocean,66786,2JUqYobT8NvARdPmc4ES2x,Good Guy,8,0.513,0.131,0,-12.787,1,0.467,0.983,0.00414,0.12,0.814,105.808,5,Blonde,86,2016-08-20,rnb
Frank Ocean,307151,7eqoqGkKwgOaWNNHx90uEZ,Nights,9,0.466,0.548,5,-9.362,0,0.118,0.42,1.01e-6,0.113,0.423,89.815,4,Blonde,86,2016-08-20,rnb
Frank Ocean,78742,2qtoRFCOEL1gRn5q9DJC7F,Solo (Reprise),10,0.541,0.747,7,-6.811,0,0.162,0.404,0,0.086,0.604,83.286,4,Blonde,86,2016-08-20,rnb
Frank Ocean,158478,17yrCsl1Ai6CZLBmGj6d6p,Pretty Sweet,11,0.201,0.724,0,-6.744,1,0.0499,0.258,0.0281,0.296,0.167,154.395,4,Blonde,86,2016-08-20,rnb
Frank Ocean,68588,73D5hBkiVZkopZrmBZTBWf,Facebook Story,12,0.632,0.18,7,-20.55,1,0.685,0.878,0,0.249,0.704,85.004,3,Blonde,86,2016-08-20,rnb
Frank Ocean,85754,1VZLEW5ZfcAbKZ94XQiSZF,Close To You,13,0.827,0.673,5,-8.401,0,0.23,0.192,0.00136,0.146,0.779,78.007,4,Blonde,86,2016-08-20,rnb
Frank Ocean,248807,2LMkwUfqC6S6s6qDVlEuzV,White Ferrari,14,0.444,0.0924,0,-15.605,1,0.0366,0.784,0,0.304,0.219,108.917,4,Blonde,86,2016-08-20,rnb
Frank Ocean,334570,1BViPjTT585XAhkUUrkts0,Seigfried,15,0.377,0.255,4,-11.165,0,0.0387,0.975,2.08e-4,0.102,0.37,125.004,5,Blonde,86,2016-08-20,rnb
Frank Ocean,177922,34xTFwjPQ1dC6uJmleno7x,Godspeed,16,0.421,0.0952,6,-12.561,1,0.0479,0.931,2.01e-4,0.126,0.0773,109.698,4,Blonde,86,2016-08-20,rnb
Frank Ocean,564165,5k8LB57xOq8UUNVaKWSqrf,Futura Free,17,0.266,0.678,1,-12.364,1,0.508,0.769,9.37e-5,0.503,0.201,83.434,4,Blonde,86,2016-08-20,rnb
Kanye West,280786,7yNK27ZTpHew0c55VvIJgm,Dark Fantasy,1,0.599,0.587,5,-5.919,1,0.0423,0.274,0,0.167,0.373,87.998,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,357653,23SZWX2IaDnxmhFsSLvkG2,Gorgeous,2,0.598,0.713,6,-3.625,0,0.0326,0.0207,1.75e-4,0.431,0.118,91.964,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,292093,2gZUPNdnz5Y45eiGxpHGSc,POWER,3,0.542,0.914,0,-4.747,0,0.113,0.0161,0,0.744,0.576,153.993,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,62253,4D6TpthzUVNTjWQqfBW5Kb,All Of The Lights (Interlude),4,0.296,0.0792,10,-16.569,0,0.0389,0.902,0.591,0.128,0.496,110.95,3,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,299613,22L7bfCiAkJo5xGSQgmiIO,All Of The Lights,5,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-5,0.176,0.221,142.113,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,378893,1ZHYJ2Wwgxes4m8Ba88PeK,Monster,6,0.628,0.692,2,-5.64,1,0.202,0.00244,0.0129,0.668,0.0963,124.887,5,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,397666,6K07Ahf6V7CAQn0ikrOztl,So Appalled,7,0.64,0.754,1,-5.873,0,0.283,0.255,0,0.63,0.584,87.15,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,351946,1UGD3lW3tDmgZfAVDh6w7r,Devil In A New Dress,8,0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,547733,3DK6m7It6Pw857FcQftMds,Runaway,9,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,327786,3rCNmRonlHN1TXQLcG3dSk,Hell Of A Life,10,0.449,0.813,8,-5.478,1,0.129,0.00142,1.72e-4,0.106,0.452,177.962,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,469866,4EndPA8b6FDWYp1RgsnLEB,Blame Game,11,0.419,0.581,10,-5.964,0,0.0688,0.306,6.3e-5,0.11,0.636,80.305,1,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,256586,2Im64pIz6m0EJKdUe6eZ8r,Lost In The World,12,0.608,0.746,5,-5.249,0,0.184,0.115,0.0087,0.427,0.277,117.072,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Kanye West,98200,4e5IPJxSGVWPsaxQzdRseN,Who Will Survive In America,13,0.677,0.842,1,-6.111,1,0.36,0.228,6.84e-4,0.856,0.595,116.166,4,My Beautiful Dark Twisted Fantasy,82,2010-11-22,Hip-Hop
Beyoncé,257653,7lUA4P03AhwAw40JHkdyGr,Pretty Hurts,1,0.512,0.625,11,-6.764,1,0.0508,0.00308,1.64e-4,0.346,0.201,129.935,4,BEYONCÉ [Platinum Edition],79,2014-11-24,rnb
Beyoncé,369040,7cioKB5CHVzk09SOtTyn0T,Haunted,2,0.436,0.534,1,-9.416,0,0.0773,0.103,0.00643,0.507,0.325,122.822,4,BEYONCÉ [Platinum Edition],79,2014-11-24,rnb
Beyoncé,323480,6jG2YzhxptolDzLHTGLt7S,Drunk in Love (feat. Jay-Z),3,0.589,0.621,5,-6.902,0,0.0468,0.00969,0.00104,0.181,0.401,140.03,4,BEYONCÉ [Platinum Edition],79,2014-11-24,rnb
Beyoncé,309720,6wwrYruEgWlowPDZMq5116,Blow,4,0.875,0.434,0,-7.683,1,0.091,0.242,0.00146,0.234,0.777,120.065,4,BEYONCÉ [Platinum Edition],79,2014-11-24,rnb
Beyoncé,228693,4DActPOAtak2m8meZeMt3B,No Angel,5,0.571,0.466,9,-9.153,0,0.173,0.0424,0.00262,0.125,0.512,111.58,1,BEYONCÉ [Platinum Edition],79,2014-11-24,rnb
Beyoncé,319466,5hgnY0mVcVetszbb85qeDg,Partition,6,0.412,0.441,11,-11.523,0,0.291,0.0296,0.0726,0.306,0.174,185.571,4,BEYONCÉ [Platinum Edition],79,2014-11-24,rnb
Beyoncé,184013,63wKtmUg754umO8SglEL79,Jealous,7,0.589,0.541,8,-10.087,1,0.163,0.122,0.00414,0.0882,0.236,133.97,4,BEYONCÉ [Platinum Edition],79,2014-11-24,rnb
